menu_id,menu_level,parent_id,menu_name,menu_tag,default_url,use_yn,leaf_yn,remarks,print_seq
FMS,0,NULL,FMS,,,Y,N,,0
H0201,2,H02,불편사항신고내역,,/DS/DiscontentList.aspx,Y,N,,1
H0202,2,H02,불편사항등록,NULL,/DS/DiscontentReq.aspx,Y,Y,NULL,2
H0301,2,H03,설문조사목록,NULL,/MN/PollList.aspx,Y,Y,NULL,1
H0401,2,H04,게시판,,/bbs/sboard_list.aspx?board_gb=FREE,Y,Y,,1
H0501,2,H05,공지사항,,/app/notice_list.aspx,Y,Y,,1
H0502,2,H05,정보변경,,/app/change_info.aspx,Y,Y,,2
M01,1,FMS,시설물관리,facilities,,Y,N,시설물 정보를 관리합니다.,1
M0101,2,M01,작업관리,,,Y,N,,1
M010101,3,M0101,작업지시관리,,/WR/WorkPlanManage.aspx,Y,Y,,1
M010102,3,M0101,작업결과관리,,/WR/WorkResult.aspx,Y,Y,,2
M010103,3,M0101,예방점검계획관리,,/PM/PreMaintanceV2.aspx,Y,Y,,4
M010104,3,M0101,표준업무관리,,/PM/StdJobManage.aspx,Y,Y,,5
M010105,3,M0101,긴급작업 결과관리,,/WR/RapidWorkResult.aspx,Y,Y,,3
M010106,3,M0101,스케줄현황,,/PM/ScheduleManage.aspx,Y,Y,,6
M0102,2,M01,설비관리,,,Y,N,,2
M010201,3,M0102,설비기본정보관리,,/EQ/EquipManage.aspx,Y,Y,,2
M010206,3,M0102,설비구성품 교체관리,,/EQ/EquipBomAlert.aspx,Y,Y,,4
M010207,3,M0102,설비구성품관리,,/EQ/EquipBomV2Mng.aspx,Y,Y,,3
M0103,2,M01,자재관리,,,Y,N,,3
M010301,3,M0103,자재기본정보관리,,/MT/MatrialManage.aspx,Y,Y,,11
M010302,3,M0103,자재창고정보관리,,/MT/WareHouseManage.aspx,Y,Y,,12
M010303,3,M0103,자재신청관리,,/PO/MaterialReqManage.aspx,Y,Y,,13
M010304,3,M0103,자재견적관리,,/PO/MaterialEstiManage.aspx,Y,Y,,14
M010305,3,M0103,자재발주관리,,/PO/MaterialOrderManage.aspx,Y,Y,,15
M010306,3,M0103,자재입고관리,,/MT/MaterialInManage.aspx,Y,Y,,16
M010307,3,M0103,자재출고관리,,/MT/MaterialOutManage.aspx,Y,Y,,17
M010308,3,M0103,재고마감처리,,/MT/ClosingStock.aspx,Y,Y,,18
M0104,2,M01,공기구/비품관리,,,Y,N,,4
M010401,3,M0104,공구/계측기 정보관리,,/TL/ToolManage.aspx,Y,Y,,21
M010402,3,M0104,공구/계측기 대여관리,,/TL/ToolRent.aspx,Y,Y,,22
M010403,3,M0104,검교정관리,,/TL/ToolProof.aspx,Y,Y,,23
M010404,3,M0104,고장수리관리,,/TL/ToolFix.aspx,Y,Y,,24
M010405,3,M0104,비품관리,NULL,/TL/ToolEtcManage.aspx,Y,Y,,25
M0107,2,M01,건물관리,,,Y,N,,7
M010701,3,M0107,건물정보등록,,/BD/BuildingManage.aspx,Y,Y,,31
M010702,3,M0107,층정보등록,,/BD/BuildingFloor.aspx,Y,Y,,32
M010703,3,M0107,위치정보등록,,/BD/BuildingLocation.aspx,Y,Y,,33
M010704,3,M0107,보수/보강관리,,/BD/RepairHistory.aspx,Y,Y,,34
M010705,3,M0107,안전점검관리,,/BD/SafeHistory.aspx,Y,Y,,35
M010706,3,M0107,공사내역관리,,/BD/ConstructMngV2.aspx,Y,Y,,42
M0112,2,M01,순찰관리,,,N,N,,10
M011201,3,M0112,순찰지점관리,,/PT/PatrolPointManage.aspx,N,Y,,1
M011202,3,M0112,순찰코스관리,,/PT/PatrolCourseManage.aspx,N,Y,,2
M011203,3,M0112,순찰결과관리,,/PT/PatrolResultMngV2.aspx,N,Y,,3
M0113,2,M01,업체관리,NULL,,Y,N,,8
M011301,3,M0113,업체계약관리,NULL,/JC/JointCorpContract.aspx,Y,Y,,2
M011302,3,M0113,업체평가관리,NULL,/JC/JointCorpScore.aspx,Y,Y,,3
M011303,3,M0113,업체평가현황,NULL,/JC/JointCorpScoreSts.aspx,Y,Y,,4
